"url","id","title","price","currency","description","images","bedrooms","bathrooms","property_type","building_size","land_size","rooms","address","country_code","state","city","realtor_details","price_history","listing_status"
"https://www.realtor.com/realestateandhomes-detail/160-County-Route-23_Constantia_NY_13044_M44849-31278","4484931278","160 County Route 23, Constantia, NY 13044",115000,"USD","This property in a good very location and would make for a great starter home for all buyers! This is a mobile home with additional living space as well as a 2 car garage! With a little TLC this home can be just what you looking for! This is an estate property sold as is. Contact your agent today to see the potential that this property has to offer. Square footage is based upon tax records showing addition's to the Mobile home. Mobile home 58 x 12 = 696 sq ft, Wood addition of 288 sq ft, second addition of 22 x 12 = 264 sq ft. totaling 1248 sq ft.","[""https://ap.rdcpix.com/ff35bbdd2e10cfbbbd6804076c0ff86fl-m3668199864s-w960_h720.jpg"",""https://ap.rdcpix.com/ff35bbdd2e10cfbbbd6804076c0ff86fl-m3795445919s-w960_h720.jpg""]",2,1,"mobile","1248 sqft","18888 sqft","[""Bedrooms: 2"",""Bedrooms On Main Level: 2"",""Total Rooms: 5"",""Total Bathrooms: 1"",""Full Bathrooms: 1"",""Bathrooms On Main Level: 1""]","160 County Route 23, Constantia, NY 13044","USA","New York","Constantia","{""agency"":""Ber***ire***tha*********eal***"",""agency_url"":""htt***//w***ber*********haw*********************anl*********************"",""name"":""James S*****n"",""phone_number"":""(31***343***66""}",,"Mobile house for sale"
"https://www.realtor.com/realestateandhomes-detail/12174-SW-Bennington-Cir_Port-Saint-Lucie_FL_34987_M51560-60111","5156060111","12174 SW Bennington Cir, Port Saint Lucie, FL 34987",290216,"USD","This home is waiting for you in Tradition's most sought after neighborhood- Townpark! It features a luxury kitchen, stainless steal GE appliances, 42 in upper cabinets and lovely granite and full backsplash!! This floor plan is grand yet cozy.  Great for entertaining or a growing family!","[""https://p.rdcpix.com/v01/l7accd744-m0s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m1s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m2s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m3s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m4s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m5s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m6s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m7s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m8s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m9s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m10s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m11s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m12s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m13s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m14s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m15s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m16s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m17s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m18s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m19s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m20s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m21s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m22s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m23s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m24s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m25s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m26s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m27s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m28s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m29s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m30s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m31s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m32s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m33s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l7accd744-m34s-w960_h720.jpg""]",4,2.5,"single_family","2552 sqft","6795 sqft","[""Total Bedrooms: 4"",""Master Bedroom: 15x17"",""Dual Sinks"",""Separate Tub"",""Separate Shower"",""Mstr Bdrm - Upstairs"",""Master Bedroom Level: 2"",""Bedroom 2 Room Level: 2"",""Bedroom 3 Room Level: 2"",""Bedroom 4 Room Level: 2"",""Bedroom 2: 12x14"",""Bedroom 3: 11x12"",""Bedroom 4: 10x12"",""Baths - Full: 2"",""Baths - Half: 1"",""Baths - Total: 2.10"",""Living Room: 13x13"",""Family Room: 15x17"",""Patio/Balcony: 10x13"",""Laundry-Inside"",""Storage"",""Family Room Level: 1"",""Living Room Level: 1"",""Patio/Balcony Room Level: 1""]","12174 SW Bennington Cir, Port Saint Lucie, FL 34987","USA","Florida","Port Saint Lucie","{""agency"":null,""agency_url"":null,""name"":null,""phone_number"":null}",,"Off Market"
"https://www.realtor.com/realestateandhomes-detail/839-Pine-Ave_Long-Beach_CA_90813_M23126-31106","2312631106","839 Pine Ave, Long Beach, CA 90813",2995,"USD","View detailed information about property 839 Pine Ave, Long Beach, CA 90813 including listing details, property photos, school and neighborhood data, and much more.","[""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m4064118990s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m1049982912s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m1665862258s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m325059936s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m3038929005s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m1220371399s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m1344157568s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m2476017956s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m127199147s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m3038091195s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m1558445333s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m3107031032s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m573076106s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m3357773356s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m3419335021s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m2979180962s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m1968326460s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m135215702s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m485174143s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m1886679271s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m2553466740s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m3127129779s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m83737483s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m1387111487s-w960_h720.jpg"",""https://ap.rdcpix.com/06bbbbbcb2d9ad27757a2060b794dc09l-m4003204160s-w960_h720.jpg""]",2,1.5,"single_family","1450 sqft",,"[""Bedrooms: 2"",""Full Bathrooms: 1"",""1/2 Bathrooms: 1""]","839 Pine Ave, Long Beach, CA 90813","USA","California","Long Beach","{""agency"":null,""agency_url"":null,""name"":null,""phone_number"":""562***792***""}",,"Off Market"
"https://www.realtor.com/realestateandhomes-detail/2230-Corner-Rock-Rd_Midlothian_VA_23113_M65099-29540","6509929540","2230 Corner Rock Rd, Midlothian, VA 23113",425000,"USD","Enjoy your summer fun at home! If you are looking for a home with a pool, do not miss this one. The marbled entry foyer welcomes you to gracious rooms with soft palettes, french doors, wood floors, white family room with a brick FP, built-ins, white, granite kitchen with gas cooking, wonderful recreation room with a rear hall area that features a wet bar with a refrig. and access to the second level. The upstairs features five bedrooms, plus a rear entry hall with window seats. The exterior features include tiered decks, Gazebo, 20 x 40 in ground Gunite pool with a concrete pad and beautiful plantings. The icing on the cake is the detached over sized two car garage Full irrigation and security syst. Great neighborhood with blue ribbon schools","[""https://p.rdcpix.com/v01/l563a3a45-m0s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m1s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m2s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m3s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m4s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m5s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m6s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m7s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m8s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m9s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m10s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m11s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m12s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m13s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m14s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m15s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m16s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m17s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m18s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m19s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m20s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m21s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m22s-w960_h720.jpg"",""https://p.rdcpix.com/v01/l563a3a45-m23s-w960_h720.jpg""]",5,2.5,"single_family","3600 sqft","20708 sqft","[""Bedrooms: 5"",""Full Bathrooms: 2"",""Half Bathrooms: 1"",""Half Bath Level 1: 1"",""Full Bath Level 2: 2"",""Basement Type: Crawl Space"",""Num Rooms Entered: 10"",""Room Count: 14""]","2230 Corner Rock Rd, Midlothian, VA 23113","USA","Virginia","Midlothian","{""agency"":""Lon*** Fo***r V*********rop*********"",""agency_url"":null,""name"":""Barbara L****e"",""phone_number"":""804***730***""}",,"Off Market"
"https://www.realtor.com/realestateandhomes-detail/1019-9th-Ave-W_Ashland_WI_54806_M76911-36894","7691136894","1019 9th Ave W, Ashland, WI 54806",199000,"USD","Beautiful 2 story home located conveniently close to the hospital, schools, and walking trails. This 3 Bedroom, 2 Bath home has just the right amount of modern updates combined with charming character. Original hardwood floors, updated flooring and trim throughout including new carpet in all the bedrooms. Updated kitchen with all appliances included. Main bath has been updated with new fixtures, new vanity & backsplash. Newer roof, vinyl siding, water heater, and washer & dryer. Two car garage with newer roof and also plenty of storage in the dry basement! Brand new side porch and fenced in backyard makes it the perfect spot for relaxing or playing.","[""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b1810586857s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b3945924456s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b2067047121s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b2342405743s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b3145268273s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b656850646s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b3708138514s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b3556424851s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b1583691118s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b441512654s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b3585522408s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b4004560391s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b524421177s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b2908722898s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b3001082474s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b575750518s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b71322523s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b2342606731s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b2453794768s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b1314737487s-w960_h720.jpg"",""https://ap.rdcpix.com/ba3bf17ded303439b0f0bee324c7c175l-b361922937s-w960_h720.jpg""]",3,1.5,"single_family","1480 sqft","6534 sqft","[""Bedrooms: 3"",""Bedroom 1 Dimensions: 13 x 11"",""Bedroom 2 Dimensions: 16 x 10"",""Bedroom 3 Dimensions: 10 x 11"",""Bedroom 1 Level: Second Floor"",""Bedroom 2 Level: Second Floor"",""Bedroom 3 Level: Second Floor"",""Bedroom 1 Features: 11x13.6"",""Bedroom 2 Features: 10x16"",""Bedroom 3 Features: 11x10"",""Total Bathrooms: 1 / 0 / 1"",""Full Bathrooms: 1"",""1/2 Bathrooms: 1"",""Basement Features: Unfinished"",""Living Room Dimensions: 14 x 22"",""Living Room Level: Main"",""Living Room Features: 22x14""]","1019 9th Ave W, Ashland, WI 54806","USA","Wisconsin","Ashland","{""agency"":""Col***ll ***ker*********"",""agency_url"":null,""name"":""Jay E****t"",""phone_number"":""715***308***""}",,"Off Market"
"https://www.realtor.com/realestateandhomes-detail/1520-Idaho-St_Toledo_OH_43605_M96994-02516","9699402516","1520 Idaho St, Toledo, OH 43605",,"USD",,,,,"other",,"3552 sqft",[],"1520 Idaho St, Toledo, OH 43605","USA","Ohio","Toledo","{""agency"":null,""agency_url"":null,""name"":null,""phone_number"":null}",,"Off Market"
"https://www.realtor.com/realestateandhomes-detail/103-Brighton-St_New-Britain_CT_06053_M45030-05199","4503005199","103 Brighton St, New Britain, CT 06053",,"USD",,,3,1.5,"single_family","1730 sqft","6534 sqft","[""Total bath(s): 2"",""Total full bath(s): 1"",""Total half bath(s): 1"",""Total bedroom(s): 3"",""Total rooms: 6""]","103 Brighton St, New Britain, CT 06053","USA","Connecticut","New Britain","{""agency"":null,""agency_url"":null,""name"":null,""phone_number"":null}",,"Off Market"
"https://www.realtor.com/realestateandhomes-detail/3207-Harlan-St_Indianapolis_IN_46237_M98143-41992","9814341992","3207 Harlan St, Indianapolis, IN 46237",,"USD",,,1,,"single_family","624 sqft",,"[""Total bedroom(s): 1"",""Total rooms: 5""]","3207 Harlan St, Indianapolis, IN 46237","USA","Indiana","Indianapolis","{""agency"":null,""agency_url"":null,""name"":null,""phone_number"":null}",,"Off Market"
"https://www.realtor.com/realestateandhomes-detail/153-N-Route-73_Berlin_NJ_08009_M53743-47984?lang=en","5374347984","153 N Route 73, Berlin, NJ 08009",,"USD",,,,,"single_family","1853 sqft","52272 sqft",[],"153 N Route 73, Berlin, NJ 08009","USA","New Jersey","Berlin","{""agency"":null,""agency_url"":null,""name"":null,""phone_number"":null}",,"Off Market"
"https://www.realtor.com/realestateandhomes-detail/25241-S-Barlow-Rd_Canby_OR_97013_M90738-52008?lang=en","9073852008","25241 S Barlow Rd, Canby, OR 97013",,"USD",,,,,"other",,"321037 sqft",[],"25241 S Barlow Rd, Canby, OR 97013","USA","Oregon","Canby","{""agency"":null,""agency_url"":null,""name"":null,""phone_number"":null}",,"Off Market"
